App,Category,Rating,Reviews,Size_MB,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Revenue,Description,Sentiment_Subjectivity
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19,10000,Free,0,Everyone,Art & Design,07-01-18,1.0.0,4,0,Photo Editor & Candy Camera & Grid & ScrapBook,0
Coloring book moana,ART_AND_DESIGN,3.9,967,14,500000,Free,0,Everyone,Art & Design;Pretend Play,15-01-18,2.0.0,4,0,Coloring book moana,0
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0,Everyone,Art & Design,01-08-18,1.2.4,4,0,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",0.65
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25,50000000,Free,0,Teen,Art & Design,08-06-18,Varies with device,4.2,0,Sketch - Draw & Paint,0
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0,Everyone,Art & Design;Creativity,20-06-18,1.1,4.4,0,Pixel Draw - Number Art Coloring Book,0
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0,Everyone,Art & Design,26-03-17,1,2.3,0,Paper flowers instructions,0
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19,50000,Free,0,Everyone,Art & Design,26-04-18,1.1,4,0,Smoke Effect Photo Maker - Smoke Editor,0
Infinite Painter,ART_AND_DESIGN,4.1,36815,29,1000000,Free,0,Everyone,Art & Design,14-06-18,6.1.61.1,4.2,0,Infinite Painter,0
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33,1000000,Free,0,Everyone,Art & Design,20-09-17,2.9.2,3,0,Garden Coloring Book,0
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0,Everyone,Art & Design;Creativity,03-07-18,2.8,4,0,Kids Paint Free - Drawing Fun,0.5
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28,1000000,Free,0,Everyone,Art & Design,27-10-17,1.0.4,4.1,0,Text on Photo - Fonteee,0
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12,1000000,Free,0,Everyone,Art & Design,31-07-18,1.0.15,4,0,Name Art Photo Editor - Focus n Filters,0
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20,10000000,Free,0,Teen,Art & Design,02-04-18,3.8,4.1,0,Tattoo Name On My Photo Editor,0
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21,100000,Free,0,Everyone,Art & Design,26-06-18,1.0.4,4.4,0,Mandala Coloring Book,0
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37,100000,Free,0,Everyone,Art & Design,03-08-18,1.2.3,2.3,0,3D Color Pixel by Number - Sandbox Art Coloring,0
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0,Everyone,Art & Design,06-06-18,,4.2,0,Learn To Draw Kawaii Characters,0
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0,Everyone,Art & Design,31-07-18,3.1,4.1,0,Photo Designer - Write your name with shapes,0
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17,10000,Free,0,Everyone,Art & Design,07-11-17,1,2.3,0,350 Diy Room Decor Ideas,0
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39,5000000,Free,0,Everyone,Art & Design,03-08-18,2.2.5,4,0,FlipaClip - Cartoon animation,0
ibis Paint X,ART_AND_DESIGN,4.6,224399,31,10000000,Free,0,Everyone,Art & Design,30-07-18,5.5.4,4.1,0,ibis Paint X,0
Logo Maker - Small Business,ART_AND_DESIGN,4,450,14,100000,Free,0,Everyone,Art & Design,20-04-18,4,4.1,0,Logo Maker - Small Business,0.4
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12,100000,Free,0,Everyone,Art & Design,20-03-18,1.1,4,0,Boys Photo Editor - Six Pack & Men's Suit,0
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0,Everyone 10+,Art & Design,12-07-18,2.2.6.2,4,0,Superheroes Wallpapers | 4K Backgrounds,0
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23,50000,Free,0,Everyone,Art & Design,07-07-18,1.1.3,4.1,0,HD Mickey Minnie Wallpapers,0
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6,10000,Free,0,Everyone,Art & Design,25-04-18,1.5,3,0,Harley Quinn wallpapers HD,0
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25,500000,Free,0,Everyone,Art & Design;Creativity,11-10-17,1.0.8,4,0,Colorfit - Drawing & Coloring,0
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0,Everyone,Art & Design,21-03-18,1.03,4,0,Animated Photo Editor,0
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0,Everyone,Art & Design,12-07-18,6,2.3,0,Pencil Sketch Drawing,0
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0,Everyone,Art & Design,22-08-17,1,2.3,0,Easy Realistic Drawing Tutorial,0.583333333
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0,Everyone,Art & Design,12-07-18,6.7.12.2018,4,0,Pink Silver Bow Keyboard Theme,0.3
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0,Everyone,Art & Design,31-05-18,1.2,2.3,0,Art Drawing Ideas,0
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11,100000,Free,0,Everyone,Art & Design,19-07-18,2.2,4,0,Anime Manga Coloring Book,0
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11,100000,Free,0,Everyone,Art & Design,06-01-18,1.1.0,4.1,0,Easy Origami Ideas,0.833333333
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0,Teen,Art & Design,27-04-18,1.6,4.1,0,I Creative Idea,1
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0,Everyone,Art & Design,11-07-18,2.1,4.1,0,How to draw Ladybug and Cat Noir,0
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24,500000,Free,0,Everyone,Art & Design;Creativity,02-08-18,1.0.9,4.4,0,UNICORN - Color By Number & Pixel Art Coloring,0
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11,10000,Free,0,Everyone,Art & Design,29-11-17,1.3,4,0,PIP Camera - PIP Collage Maker,0
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4,500000,Free,0,Everyone,Art & Design,31-03-18,1,4,0,How To Color Disney Princess - Coloring Pages,0
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15,10000,Free,0,Everyone,Art & Design,20-07-18,2.0.1,4,0,Drawing Clothes Fashion Ideas,0
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10,100000,Free,0,Everyone,Art & Design,02-04-18,1,4,0,Sad Poetry Photo Frames 2018,1
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,Art & Design;Creativity,15-04-18,1.46,4.1,0,Paint Splash!,0
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12,10000,Free,0,Everyone,Art & Design,03-01-18,1.0.0,4.1,0,Popsicle Sticks and Similar DIY Craft Ideas,0.4
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24,10000000,Free,0,Everyone,Art & Design,31-07-18,1.6.1,4.1,0,"Canva: Poster, banner, card maker & graphic design",0.4
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26,100000,Free,0,Everyone,Art & Design,14-11-17,1.6,4.1,0,Install images with music to make video without Net - 2018,0
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8,100000,Free,0,Everyone,Art & Design,17-12-17,2.0.0,4.1,0,Little Teddy Bear Colouring Book Game,0.45
